configurationId,repetitions,metric,mean,median,min,max,standardDeviation
v03-single-agent,6,truePositives,10,10,10,10,0
v03-single-agent,6,falsePositives,1.6666666666666667,1.5,1,3,0.7453559924999299
v03-single-agent,6,falseNegatives,0,0,0,0,0
v03-single-agent,6,precision,0.8605283605283605,0.8712121212121212,0.7692307692307693,0.9090909090909091,0.053055556657916295
v03-single-agent,6,recall,1,1,1,1,0
v03-single-agent,6,f1,0.9241483154526633,0.9307359307359306,0.8695652173913044,0.9523809523809523,0.031155553090997226
v03-single-agent,6,severityWeightedRecall,1,1,1,1,0
v03-single-agent,6,criticalIssueDetectionRate,1,1,1,1,0
v03-single-agent,6,casesWithAllExpectedFindings,10,10,10,10,0
v03-single-agent,6,casesWithZeroValidFindings,0,0,0,0,0
v03-single-agent,6,averageFindingsPerCase,1.1666666666666667,1.15,1.1,1.3,0.07453559924999295
v03-single-agent,6,runtimeMs,23031.666666666668,23145,20148,27051,2170.504216894212
v03-single-agent,6,runtimePerCase,2303.1666666666665,2314.5,2014.8,2705.1,217.05042168942114
v03-single-agent,6,estimatedCostUsd,0.0014495999999999999,0.0014472,0.0013815,0.0015573000000000002,0.0000600507285551142
v03-single-agent,6,costPerCase,0.00014496,0.00014471999999999998,0.00013815,0.00015573000000000003,0.000006005072855511422
v03-single-agent,6,costPerTruePositive,0.00014496,0.00014471999999999998,0.00013815,0.00015573000000000003,0.000006005072855511422
v03-smoke-single-agent,1,truePositives,1,1,1,1,0
v03-smoke-single-agent,1,falsePositives,0,0,0,0,0
v03-smoke-single-agent,1,falseNegatives,0,0,0,0,0
v03-smoke-single-agent,1,precision,1,1,1,1,0
v03-smoke-single-agent,1,recall,1,1,1,1,0
v03-smoke-single-agent,1,f1,1,1,1,1,0
v03-smoke-single-agent,1,severityWeightedRecall,1,1,1,1,0
v03-smoke-single-agent,1,criticalIssueDetectionRate,0,0,0,0,0
v03-smoke-single-agent,1,casesWithAllExpectedFindings,1,1,1,1,0
v03-smoke-single-agent,1,casesWithZeroValidFindings,0,0,0,0,0
v03-smoke-single-agent,1,averageFindingsPerCase,1,1,1,1,0
v03-smoke-single-agent,1,runtimeMs,1610,1610,1610,1610,0
v03-smoke-single-agent,1,runtimePerCase,1610,1610,1610,1610,0
v03-smoke-single-agent,1,estimatedCostUsd,0.0001395,0.0001395,0.0001395,0.0001395,0
v03-smoke-single-agent,1,costPerCase,0.0001395,0.0001395,0.0001395,0.0001395,0
v03-smoke-single-agent,1,costPerTruePositive,0.0001395,0.0001395,0.0001395,0.0001395,0
v03-smoke-swarm-no-debate,1,truePositives,1,1,1,1,0
v03-smoke-swarm-no-debate,1,falsePositives,2,2,2,2,0
v03-smoke-swarm-no-debate,1,falseNegatives,0,0,0,0,0
v03-smoke-swarm-no-debate,1,precision,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
v03-smoke-swarm-no-debate,1,recall,1,1,1,1,0
v03-smoke-swarm-no-debate,1,f1,0.5,0.5,0.5,0.5,0
v03-smoke-swarm-no-debate,1,severityWeightedRecall,1,1,1,1,0
v03-smoke-swarm-no-debate,1,criticalIssueDetectionRate,0,0,0,0,0
v03-smoke-swarm-no-debate,1,casesWithAllExpectedFindings,1,1,1,1,0
v03-smoke-swarm-no-debate,1,casesWithZeroValidFindings,0,0,0,0,0
v03-smoke-swarm-no-debate,1,averageFindingsPerCase,3,3,3,3,0
v03-smoke-swarm-no-debate,1,runtimeMs,6762,6762,6762,6762,0
v03-smoke-swarm-no-debate,1,runtimePerCase,6762,6762,6762,6762,0
v03-smoke-swarm-no-debate,1,estimatedCostUsd,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0
v03-smoke-swarm-no-debate,1,costPerCase,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0
v03-smoke-swarm-no-debate,1,costPerTruePositive,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0.0007187999999999999,0
v03-smoke-swarm-with-debate,1,truePositives,1,1,1,1,0
v03-smoke-swarm-with-debate,1,falsePositives,0,0,0,0,0
v03-smoke-swarm-with-debate,1,falseNegatives,0,0,0,0,0
