configurationId,repetition,caseId,truePositives,falsePositives,falseNegatives,runtimeMs,estimatedCostUsd
v03-single-agent,1,admin-invite-authorization,1,0,0,2321,0.0001305
v03-single-agent,1,dashboard-export-ux,1,0,0,1930,0.00013230000000000002
v03-single-agent,1,failed-payment-retry,1,0,0,1875,0.00012135
v03-single-agent,1,invoice-audit-omission,1,0,0,2055,0.00015165
v03-single-agent,1,notification-cancellation,1,1,0,2403,0.00019109999999999998
v03-single-agent,1,notification-opt-out,1,0,0,1910,0.00012119999999999999
v03-single-agent,1,profile-validation,1,1,0,3704,0.00022275
v03-single-agent,1,role-change-regression,1,0,0,2487,0.00013665000000000001
v03-single-agent,1,starter-seat-limit,1,0,0,2048,0.0001506
v03-single-agent,1,trial-cancellation,1,0,0,2186,0.000123
v03-single-agent,1,admin-invite-authorization,1,0,0,3226,0.0001371
v03-single-agent,1,dashboard-export-ux,1,0,0,2404,0.00014309999999999998
v03-single-agent,1,failed-payment-retry,1,0,0,4924,0.00012255
v03-single-agent,1,invoice-audit-omission,1,1,0,3698,0.00023985
v03-single-agent,1,notification-cancellation,1,0,0,1882,0.0001275
v03-single-agent,1,notification-opt-out,1,0,0,2592,0.0001392
v03-single-agent,1,profile-validation,1,0,0,2080,0.00014655
v03-single-agent,1,role-change-regression,1,0,0,2193,0.00012885
v03-single-agent,1,starter-seat-limit,1,0,0,1941,0.0001416
v03-single-agent,1,trial-cancellation,1,0,0,2111,0.0001212
v03-single-agent,2,admin-invite-authorization,1,0,0,1972,0.0001353
v03-single-agent,2,dashboard-export-ux,1,0,0,1742,0.0001185
v03-single-agent,2,failed-payment-retry,1,0,0,1807,0.00011714999999999999
v03-single-agent,2,invoice-audit-omission,1,0,0,2037,0.00013544999999999999
v03-single-agent,2,notification-cancellation,1,1,0,2355,0.0001827
v03-single-agent,2,notification-opt-out,1,0,0,2015,0.0001338
v03-single-agent,2,profile-validation,1,0,0,2221,0.00015915
v03-single-agent,2,role-change-regression,1,0,0,1965,0.00013245
v03-single-agent,2,starter-seat-limit,1,0,0,2112,0.00015419999999999998
v03-single-agent,2,trial-cancellation,1,0,0,1922,0.00011279999999999999
v03-single-agent,2,admin-invite-authorization,1,0,0,1875,0.0001353
v03-single-agent,2,dashboard-export-ux,1,0,0,1814,0.0001179
v03-single-agent,2,failed-payment-retry,1,0,0,2199,0.00012795
v03-single-agent,2,invoice-audit-omission,1,1,0,3610,0.00025485
v03-single-agent,2,notification-cancellation,1,0,0,1843,0.0001329
v03-single-agent,2,notification-opt-out,1,0,0,2127,0.00012539999999999999
v03-single-agent,2,profile-validation,1,1,0,2721,0.00019454999999999999
v03-single-agent,2,role-change-regression,1,0,0,2009,0.00013245
v03-single-agent,2,starter-seat-limit,1,1,0,2963,0.00020039999999999997
v03-single-agent,2,trial-cancellation,1,0,0,2210,0.0001356
v03-single-agent,3,admin-invite-authorization,1,0,0,2087,0.0001485
v03-single-agent,3,dashboard-export-ux,1,0,0,1718,0.0001299
v03-single-agent,3,failed-payment-retry,1,0,0,2702,0.00011114999999999999
v03-single-agent,3,invoice-audit-omission,1,0,0,2656,0.00017865
v03-single-agent,3,notification-cancellation,1,0,0,1585,0.00011729999999999998
v03-single-agent,3,notification-opt-out,1,0,0,1904,0.000117
v03-single-agent,3,profile-validation,1,0,0,2172,0.00015315
v03-single-agent,3,role-change-regression,1,0,0,1991,0.00011805000000000001
v03-single-agent,3,starter-seat-limit,1,1,0,2455,0.0001926
v03-single-agent,3,trial-cancellation,1,0,0,1910,0.000117
v03-single-agent,3,admin-invite-authorization,1,0,0,1837,0.0001371
v03-single-agent,3,dashboard-export-ux,1,0,0,4339,0.0001359
v03-single-agent,3,failed-payment-retry,1,0,0,2003,0.00011775
v03-single-agent,3,invoice-audit-omission,1,0,0,1932,0.00014204999999999998
v03-single-agent,3,notification-cancellation,1,1,0,2827,0.0002217
v03-single-agent,3,notification-opt-out,1,0,0,1764,0.00011219999999999999
v03-single-agent,3,profile-validation,1,1,0,2962,0.00020475
v03-single-agent,3,role-change-regression,1,0,0,2121,0.00012644999999999998
v03-single-agent,3,starter-seat-limit,1,0,0,2001,0.0001314
v03-single-agent,3,trial-cancellation,1,0,0,1735,0.0001176
v03-smoke-single-agent,1,admin-invite-authorization,1,0,0,1610,0.0001395
v03-smoke-swarm-no-debate,1,admin-invite-authorization,1,2,0,6762,0.0007187999999999999
v03-smoke-swarm-with-debate,1,admin-invite-authorization,1,0,0,7241,0.00071775
v03-specbridge-requirements,1,admin-invite-authorization,1,1,0,3078,0.00017669999999999999
v03-specbridge-requirements,1,dashboard-export-ux,1,0,0,2614,0.00014939999999999997
v03-specbridge-requirements,1,failed-payment-retry,1,0,0,2635,0.0001515
v03-specbridge-requirements,1,invoice-audit-omission,1,0,0,3346,0.00019664999999999998
v03-specbridge-requirements,1,notification-cancellation,1,0,0,2555,0.0001551
v03-specbridge-requirements,1,notification-opt-out,1,0,0,3770,0.00017475
v03-specbridge-requirements,1,profile-validation,1,0,0,3133,0.00015975
v03-specbridge-requirements,1,role-change-regression,1,0,0,3204,0.000162
v03-specbridge-requirements,1,starter-seat-limit,1,0,0,2486,0.00015705000000000002
v03-specbridge-requirements,1,trial-cancellation,1,0,0,2948,0.0001533
v03-specbridge-requirements,2,admin-invite-authorization,1,0,0,2814,0.0001629
v03-specbridge-requirements,2,dashboard-export-ux,1,0,0,2874,0.00015419999999999998
v03-specbridge-requirements,2,failed-payment-retry,1,0,0,3512,0.0001773
v03-specbridge-requirements,2,invoice-audit-omission,1,0,0,8786,0.00016845
v03-specbridge-requirements,2,notification-cancellation,1,0,0,2558,0.00015689999999999996
v03-specbridge-requirements,2,notification-opt-out,1,0,0,2342,0.00014235
v03-specbridge-requirements,2,profile-validation,1,0,0,4081,0.00021255
v03-specbridge-requirements,2,role-change-regression,1,0,0,4122,0.0001656
v03-specbridge-requirements,2,starter-seat-limit,1,0,0,2713,0.00016064999999999997
v03-specbridge-requirements,2,trial-cancellation,1,0,0,2365,0.0001617
v03-specbridge-requirements,3,admin-invite-authorization,1,0,0,2407,0.0001575
v03-specbridge-requirements,3,dashboard-export-ux,1,0,0,2619,0.0001488
v03-specbridge-requirements,3,failed-payment-retry,1,0,0,2219,0.00014969999999999998
v03-specbridge-requirements,3,invoice-audit-omission,1,0,0,4313,0.00017444999999999998
v03-specbridge-requirements,3,notification-cancellation,1,0,0,2214,0.0001545
v03-specbridge-requirements,3,notification-opt-out,1,0,0,2647,0.00015075
v03-specbridge-requirements,3,profile-validation,1,0,0,5559,0.00028514999999999997
v03-specbridge-requirements,3,role-change-regression,1,0,0,3277,0.00016380000000000002
v03-specbridge-requirements,3,starter-seat-limit,1,0,0,2415,0.00015705000000000002
v03-specbridge-requirements,3,trial-cancellation,1,0,0,2023,0.0001563
v03-swarm-debate-static,1,admin-invite-authorization,1,0,0,10187,0.00076665
v03-swarm-debate-static,1,dashboard-export-ux,1,0,0,9210,0.0007212000000000001
